feature value,n_samples,precision,recall,fbeta
 Self-emp-inc,223,0.8739495798319328,0.8455284552845529,0.859504132231405
 Self-emp-not-inc,491,0.9325842696629213,0.6102941176470589,0.7377777777777779
 State-gov,288,0.8414634146341463,0.8414634146341463,0.8414634146341463
 Federal-gov,204,0.863013698630137,0.84,0.8513513513513513
 Never-worked,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Some-college,1395,0.9021739130434783,0.6240601503759399,0.7377777777777778
 HS-grad,2106,0.8925619834710744,0.36363636363636365,0.5167464114832536
 Masters,365,0.8697674418604651,0.8904761904761904,0.88
 Bachelors,1100,0.8467741935483871,0.8624229979466119,0.854526958290946
 11th,223,1.0,0.4,0.5714285714285715
 9th,97,1.0,0.25,0.4
 12th,85,1.0,0.3333333333333333,0.5
 Assoc-acdm,217,0.9210526315789473,0.625,0.7446808510638298
 Assoc-voc,285,0.9491525423728814,0.6588235294117647,0.7777777777777778
 7th-8th,141,0.6666666666666666,0.25,0.36363636363636365
 Prof-school,110,0.9186046511627907,0.9753086419753086,0.9461077844311376
 10th,185,1.0,0.07142857142857142,0.13333333333333333
 Doctorate,112,0.84375,1.0,0.9152542372881356
 1st-4th,19,0.0,0.0,0.0
 Preschool,9,0.0,0.0,0.0
 5th-6th,64,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3032,0.8665028665028665,0.7600574712643678,0.8097971680061232
 Never-married,2097,1.0,0.39,0.5611510791366906
 Separated,195,1.0,0.6363636363636364,0.7777777777777778
 Divorced,897,0.9714285714285714,0.39080459770114945,0.5573770491803278
 Widowed,208,1.0,0.23529411764705882,0.38095238095238093
 Married-spouse-absent,79,1.0,0.5,0.6666666666666666
 Married-AF-spouse,5,1.0,0.5,0.6666666666666666
feature value,n_samples,precision,recall,fbeta
 Sales,710,0.8518518518518519,0.7225130890052356,0.7818696883852692
 Adm-clerical,717,0.881578947368421,0.67,0.7613636363636364
 ?,390,0.896551724137931,0.6046511627906976,0.7222222222222221
 Prof-specialty,843,0.8663366336633663,0.8883248730964467,0.8771929824561403
 Exec-managerial,846,0.8698795180722891,0.8167420814479638,0.8424737456242707
 Handlers-cleaners,287,1.0,0.2608695652173913,0.41379310344827586
 Craft-repair,834,0.9230769230769231,0.48,0.631578947368421
 Other-service,647,1.0,0.09523809523809523,0.17391304347826084
 Tech-support,180,0.8846153846153846,0.8070175438596491,0.8440366972477065
 Machine-op-inspct,408,1.0,0.21568627450980393,0.3548387096774193
 Transport-moving,317,0.9565217391304348,0.3793103448275862,0.54320987654321
 Protective-serv,128,0.8125,0.7027027027027027,0.7536231884057971
 Farming-fishing,180,1.0,0.2727272727272727,0.42857142857142855
 Priv-house-serv,22,0.0,0.0,0.0
 Armed-Forces,4,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Husband,2682,0.8632558139534884,0.7550854353132628,0.8055555555555555
 Unmarried,704,1.0,0.4186046511627907,0.5901639344262295
 Own-child,1044,1.0,0.1111111111111111,0.19999999999999998
 Not-in-family,1588,0.9855072463768116,0.3953488372093023,0.5643153526970954
 Other-relative,182,1.0,0.6,0.7499999999999999
 Wife,313,0.8888888888888888,0.8152866242038217,0.8504983388704319
feature value,n_samples,precision,recall,fbeta
 White,5572,0.8798999165971643,0.7142857142857143,0.788490284005979
 Black,623,0.8448275862068966,0.6125,0.7101449275362319
 Asian-Pac-Islander,196,0.7755102040816326,0.8085106382978723,0.7916666666666665
 Other,59,1.0,0.5,0.6666666666666666
 Amer-Indian-Eskimo,63,1.0,0.2857142857142857,0.4444444444444445
feature value,n_samples,precision,recall,fbeta
 Male,4426,0.8700614574187884,0.715007215007215,0.7849504950495049
 Female,2087,0.9064327485380117,0.6768558951965066,0.7750000000000001
feature value,n_samples,precision,recall,fbeta
 United-States,5840,0.8816666666666667,0.7100671140939597,0.7866171003717471
 Mexico,123,1.0,0.2,0.33333333333333337
 Jamaica,14,0.5,1.0,0.6666666666666666
 South,19,0.5,0.6666666666666666,0.5714285714285715
 El-Salvador,22,1.0,1.0,1.0
 ?,122,0.7777777777777778,0.7241379310344828,0.75
 Dominican-Republic,14,0.0,0.0,0.0
 Taiwan,7,1.0,1.0,1.0
 Philippines,34,0.8571428571428571,0.6666666666666666,0.75
 Germany,23,1.0,0.7777777777777778,0.8750000000000001
 China,12,0.625,1.0,0.7692307692307693
 England,21,0.75,0.5,0.6
 Puerto-Rico,30,0.75,1.0,0.8571428571428571
 Italy,13,1.0,0.4,0.5714285714285715
 India,18,0.8888888888888888,1.0,0.9411764705882353
 Haiti,12,0.0,0.0,0.0
 Cuba,14,0.6666666666666666,0.5,0.5714285714285715
 Peru,8,0.0,0.0,0.0
 Nicaragua,6,0.0,0.0,0.0
 Vietnam,15,0.0,0.0,0.0
 Iran,6,0.6,0.75,0.6666666666666665
 Portugal,7,1.0,1.0,1.0
 Trinadad&Tobago,9,1.0,0.5,0.6666666666666666
 Canada,29,0.8333333333333334,0.625,0.7142857142857143
 Guatemala,13,0.0,0.0,0.0
 Yugoslavia,4,0.5,1.0,0.6666666666666666
 Cambodia,3,0.0,0.0,0.0
 Greece,6,1.0,0.5,0.6666666666666666
 France,7,1.0,1.0,1.0
 Columbia,16,1.0,1.0,1.0
 Poland,9,1.0,1.0,1.0
 Japan,11,1.0,0.3333333333333333,0.5
 Outlying-US(Guam-USVI-etc),1,0.0,0.0,0.0
 Hong,5,0.6666666666666666,1.0,0.8
 Thailand,3,1.0,1.0,1.0
 Ecuador,3,0.0,0.0,0.0
 Honduras,3,0.0,0.0,0.0
 Ireland,3,0.0,0.0,0.0
 Scotland,2,0.0,0.0,0.0
 Hungary,2,0.0,0.0,0.0
 Laos,3,0.0,0.0,0.0
 Holand-Netherlands,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4565,0.8368146214099217,0.6712041884816754,0.7449157466589192
 Federal-gov,169,0.9375,0.8108108108108109,0.8695652173913043
 Self-emp-inc,229,0.8861788617886179,0.8582677165354331,0.8720000000000001
 Self-emp-not-inc,519,0.8297872340425532,0.5864661654135338,0.6872246696035241
 Local-gov,416,0.83,0.7477477477477478,0.7867298578199052
 State-gov,255,0.8656716417910447,0.8169014084507042,0.8405797101449274
 ?,356,0.8823529411764706,0.45454545454545453,0.6
 Never-worked,1,0.0,0.0,0.0
 Without-pay,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Some-college,1473,0.8480392156862745,0.6048951048951049,0.7061224489795919
 11th,233,1.0,0.4166666666666667,0.5882352941176471
 Bachelors,1026,0.8116279069767441,0.8491484184914841,0.8299643281807372
 Assoc-voc,282,0.8461538461538461,0.5409836065573771,0.66
 HS-grad,2090,0.9393939393939394,0.40522875816993464,0.5662100456621005
 10th,187,1.0,0.26666666666666666,0.4210526315789474
 Masters,372,0.8256880733944955,0.8910891089108911,0.8571428571428572
 12th,91,1.0,0.2,0.33333333333333337
 Doctorate,76,0.8305084745762712,0.98,0.8990825688073395
 Assoc-acdm,211,0.9,0.6923076923076923,0.7826086956521738
 9th,99,0.0,0.0,0.0
 7th-8th,152,0.0,0.0,0.0
 Prof-school,119,0.9175257731958762,0.956989247311828,0.9368421052631579
 1st-4th,33,0.0,0.0,0.0
 5th-6th,60,1.0,0.5,0.6666666666666666
 Preschool,9,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,3009,0.8372703412073491,0.7424359968968193,0.7870065789473684
 Never-married,2137,0.9761904761904762,0.43157894736842106,0.5985401459854014
 Married-spouse-absent,73,1.0,0.75,0.8571428571428571
 Divorced,914,1.0,0.38202247191011235,0.5528455284552846
 Widowed,182,1.0,0.2,0.33333333333333337
 Separated,194,1.0,0.375,0.5454545454545454
 Married-AF-spouse,4,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Craft-repair,833,0.8585858585858586,0.4594594594594595,0.5985915492957746
 Other-service,702,0.875,0.2916666666666667,0.43750000000000006
 Exec-managerial,838,0.8372093023255814,0.8372093023255814,0.8372093023255814
 Machine-op-inspct,404,0.9411764705882353,0.3076923076923077,0.46376811594202905
 Sales,763,0.8475609756097561,0.6780487804878049,0.7533875338753389
 Adm-clerical,734,0.8529411764705882,0.6744186046511628,0.7532467532467532
 Handlers-cleaners,256,1.0,0.5,0.6666666666666666
 Prof-specialty,804,0.8403361344537815,0.8771929824561403,0.8583690987124464
 Farming-fishing,205,1.0,0.36,0.5294117647058824
 Protective-serv,129,0.896551724137931,0.5652173913043478,0.6933333333333332
 ?,357,0.8823529411764706,0.45454545454545453,0.6
 Tech-support,147,0.7872340425531915,0.7872340425531915,0.7872340425531915
 Transport-moving,305,0.9523809523809523,0.3508771929824561,0.5128205128205128
 Armed-Forces,1,1.0,1.0,1.0
 Priv-house-serv,35,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2633,0.8359375,0.7424111014744146,0.786403307303629
 Other-relative,230,1.0,0.3,0.4615384615384615
 Not-in-family,1625,0.9863013698630136,0.42857142857142855,0.5975103734439834
 Own-child,1012,1.0,0.26666666666666666,0.4210526315789474
 Unmarried,704,1.0,0.3333333333333333,0.5
 Wife,309,0.8448275862068966,0.784,0.8132780082987552
feature value,n_samples,precision,recall,fbeta
 Other,51,1.0,0.25,0.4
 White,5555,0.8494623655913979,0.7011834319526628,0.7682333873581848
 Asian-Pac-Islander,200,0.7884615384615384,0.6721311475409836,0.7256637168141593
 Amer-Indian-Eskimo,66,1.0,0.6363636363636364,0.7777777777777778
 Black,641,0.8545454545454545,0.618421052631579,0.7175572519083969
feature value,n_samples,precision,recall,fbeta
 Male,4346,0.8448117539026629,0.7060629316960859,0.7692307692307693
 Female,2167,0.8732394366197183,0.6169154228855721,0.7230320699708455
feature value,n_samples,precision,recall,fbeta
 United-States,5860,0.8496905393457118,0.6923631123919308,0.7630011909487893
 Philippines,36,0.7692307692307693,0.8333333333333334,0.8
 Mexico,146,1.0,0.4,0.5714285714285715
 Cuba,24,1.0,0.7142857142857143,0.8333333333333333
 South,17,0.75,0.75,0.75
 Poland,11,0.0,0.0,0.0
 ?,107,0.9090909090909091,0.6666666666666666,0.7692307692307692
 England,18,0.6666666666666666,0.8,0.7272727272727272
 Ireland,6,0.0,0.0,0.0
 Portugal,4,1.0,1.0,1.0
 Guatemala,20,0.0,0.0,0.0
 Japan,12,1.0,0.5,0.6666666666666666
 Peru,6,0.0,0.0,0.0
 Italy,12,0.0,0.0,0.0
 Canada,13,1.0,1.0,1.0
 Germany,20,1.0,1.0,1.0
 China,17,0.6,0.75,0.6666666666666665
 Ecuador,8,0.0,0.0,0.0
 Greece,2,0.0,0.0,0.0
 Honduras,6,0.0,0.0,0.0
 Dominican-Republic,10,0.0,0.0,0.0
 Vietnam,15,0.0,0.0,0.0
 Hong,4,0.6666666666666666,1.0,0.8
 El-Salvador,24,1.0,0.6666666666666666,0.8
 Hungary,2,0.0,0.0,0.0
 Puerto-Rico,20,0.5,1.0,0.6666666666666666
 Yugoslavia,2,1.0,1.0,1.0
 India,16,0.75,0.6666666666666666,0.7058823529411765
 Taiwan,11,1.0,1.0,1.0
 Iran,9,0.8,1.0,0.888888888888889
 Outlying-US(Guam-USVI-etc),1,0.0,0.0,0.0
 Jamaica,17,0.5,1.0,0.6666666666666666
 France,4,1.0,1.0,1.0
 Haiti,3,0.0,0.0,0.0
 Cambodia,4,0.0,0.0,0.0
 Columbia,11,0.0,0.0,0.0
 Trinadad&Tobago,6,1.0,1.0,1.0
 Thailand,2,1.0,1.0,1.0
 Holand-Netherlands,1,0.0,0.0,0.0
 Nicaragua,6,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4609,0.7715674362089915,0.6446700507614214,0.7024336283185841
 Self-emp-not-inc,479,0.723404255319149,0.544,0.6210045662100457
 ?,369,0.8636363636363636,0.41304347826086957,0.5588235294117647
 State-gov,250,0.7333333333333333,0.6666666666666666,0.6984126984126984
 Local-gov,375,0.7755102040816326,0.7676767676767676,0.7715736040609136
 Federal-gov,184,0.8108108108108109,0.8,0.8053691275167786
 Self-emp-inc,242,0.7318840579710145,0.8211382113821138,0.7739463601532568
 Without-pay,3,0.0,0.0,0.0
 Never-worked,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 10th,186,1.0,0.25,0.4
 11th,228,1.0,0.3,0.4615384615384615
 12th,102,0.6666666666666666,0.2857142857142857,0.4
 HS-grad,2085,0.7697368421052632,0.370253164556962,0.5
 Bachelors,1059,0.7831858407079646,0.8045454545454546,0.7937219730941704
 Prof-school,110,0.8625,0.9324324324324325,0.8961038961038962
 5th-6th,48,0.0,0.0,0.0
 Some-college,1472,0.6818181818181818,0.5851063829787234,0.6297709923664122
 Doctorate,86,0.8260869565217391,0.8769230769230769,0.8507462686567164
 Assoc-voc,304,0.6984126984126984,0.5945945945945946,0.6423357664233577
 Masters,335,0.7905759162303665,0.8435754189944135,0.8162162162162162
 Assoc-acdm,229,0.7346938775510204,0.7346938775510204,0.7346938775510203
 Preschool,9,0.0,0.0,0.0
 9th,107,1.0,0.5,0.6666666666666666
 7th-8th,116,0.0,0.0,0.0
 1st-4th,37,1.0,0.3333333333333333,0.5
feature value,n_samples,precision,recall,fbeta
 Married-civ-spouse,2938,0.7622673434856176,0.6968290796597061,0.7280808080808081
 Never-married,2144,0.8363636363636363,0.4423076923076923,0.5786163522012578
 Married-spouse-absent,82,0.5,0.5,0.5
 Divorced,942,0.75,0.4431818181818182,0.5571428571428572
 Widowed,192,1.0,0.4444444444444444,0.6153846153846153
 Separated,211,0.875,0.5833333333333334,0.7000000000000001
 Married-AF-spouse,4,0.5,0.5,0.5
feature value,n_samples,precision,recall,fbeta
 Craft-repair,815,0.6568627450980392,0.44666666666666666,0.5317460317460317
 Sales,808,0.7700534759358288,0.6824644549763034,0.7236180904522614
 Exec-managerial,859,0.7745803357314148,0.8156565656565656,0.7945879458794588
 Machine-op-inspct,368,0.875,0.2692307692307692,0.411764705882353
 Adm-clerical,772,0.6901408450704225,0.45794392523364486,0.550561797752809
 ?,371,0.8636363636363636,0.41304347826086957,0.5588235294117647
 Transport-moving,304,0.8620689655172413,0.36231884057971014,0.5102040816326531
 Prof-specialty,787,0.7988980716253443,0.838150289017341,0.8180535966149507
 Handlers-cleaners,274,0.7142857142857143,0.3333333333333333,0.4545454545454545
 Protective-serv,130,0.7352941176470589,0.6410256410256411,0.6849315068493151
 Other-service,642,0.8333333333333334,0.18518518518518517,0.303030303030303
 Tech-support,166,0.673469387755102,0.7333333333333333,0.702127659574468
 Farming-fishing,190,0.6666666666666666,0.25,0.36363636363636365
 Priv-house-serv,26,0.0,0.0,0.0
 Armed-Forces,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Husband,2569,0.7621313035204567,0.706972639011474,0.7335164835164834
 Own-child,1016,0.2,0.125,0.15384615384615385
 Other-relative,211,0.5,0.16666666666666666,0.25
 Not-in-family,1689,0.8043478260869565,0.4277456647398844,0.5584905660377358
 Unmarried,709,0.896551724137931,0.6190476190476191,0.732394366197183
 Wife,319,0.7692307692307693,0.6369426751592356,0.6968641114982578
feature value,n_samples,precision,recall,fbeta
 White,5539,0.7660283097418817,0.6642599277978339,0.711523588553751
 Black,638,0.8269230769230769,0.6056338028169014,0.6991869918699187
 Asian-Pac-Islander,218,0.7,0.7142857142857143,0.7070707070707072
 Other,50,0.0,0.0,0.0
 Amer-Indian-Eskimo,68,0.8333333333333334,0.5,0.625
feature value,n_samples,precision,recall,fbeta
 Male,4315,0.762532981530343,0.6747081712062257,0.7159372419488026
 Female,2198,0.7906976744186046,0.5811965811965812,0.6699507389162562
feature value,n_samples,precision,recall,fbeta
 United-States,5809,0.7660818713450293,0.6606628242074928,0.709477756286267
 Jamaica,15,0.5,0.5,0.5
 Honduras,5,0.0,0.0,0.0
 Dominican-Republic,13,0.0,0.0,0.0
 Outlying-US(Guam-USVI-etc),5,0.0,0.0,0.0
 Haiti,11,1.0,1.0,1.0
 Iran,10,0.75,0.75,0.75
 Philippines,42,0.7647058823529411,0.8125,0.787878787878788
 Mexico,125,0.75,0.42857142857142855,0.5454545454545454
 Columbia,6,0.0,0.0,0.0
 England,22,0.7142857142857143,0.625,0.6666666666666666
 Guatemala,16,0.0,0.0,0.0
 El-Salvador,19,1.0,1.0,1.0
 Taiwan,11,1.0,1.0,1.0
 Ireland,5,1.0,1.0,1.0
 Germany,35,1.0,0.625,0.7692307692307693
 ?,123,0.6956521739130435,0.64,0.6666666666666666
 Japan,14,0.6666666666666666,0.8,0.7272727272727272
 Greece,7,1.0,1.0,1.0
 Canada,30,1.0,0.7,0.8235294117647058
 Scotland,3,0.0,0.0,0.0
 China,15,0.8,1.0,0.888888888888889
 India,17,0.6666666666666666,0.6666666666666666,0.6666666666666666
 South,17,0.3333333333333333,0.3333333333333333,0.3333333333333333
 Peru,5,0.0,0.0,0.0
 Cambodia,6,0.0,0.0,0.0
 Laos,2,1.0,1.0,1.0
 Thailand,5,1.0,1.0,1.0
 Portugal,5,0.0,0.0,0.0
 Puerto-Rico,18,0.0,0.0,0.0
 Ecuador,4,1.0,1.0,1.0
 Cuba,20,0.0,0.0,0.0
 Trinadad&Tobago,6,0.0,0.0,0.0
 Italy,21,1.0,0.42857142857142855,0.6
 Nicaragua,5,1.0,1.0,1.0
 France,4,1.0,1.0,1.0
 Poland,10,1.0,1.0,1.0
 Vietnam,13,0.0,0.0,0.0
 Hong,7,0.0,0.0,0.0
 Hungary,3,0.5,1.0,0.6666666666666666
 Holand-Netherlands,1,0.0,0.0,0.0
 Yugoslavia,3,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4505,0.7389100126742713,0.6066597294484911,0.6662857142857143
 ?,380,0.5517241379310345,0.5,0.5245901639344263
 Federal-gov,206,0.7183098591549296,0.6710526315789473,0.6938775510204082
 Local-gov,409,0.71875,0.696969696969697,0.7076923076923077
 State-gov,257,0.7391304347826086,0.6891891891891891,0.7132867132867132
 Self-emp-inc,236,0.7894736842105263,0.8267716535433071,0.8076923076923076
 Self-emp-not-inc,514,0.7070707070707071,0.5072463768115942,0.5907172995780591
 Without-pay,4,0.0,0.0,0.0
 Never-worked,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Bachelors,1048,0.7407407407407407,0.7529411764705882,0.7467911318553092
 11th,255,0.5,0.25,0.3333333333333333
 HS-grad,2095,0.6428571428571429,0.3772455089820359,0.4754716981132076
 Assoc-acdm,229,0.675,0.5094339622641509,0.5806451612903226
 Some-college,1494,0.6681614349775785,0.5379061371841155,0.5960000000000001
 Masters,335,0.8195876288659794,0.8457446808510638,0.8324607329842931
 Assoc-voc,273,0.6666666666666666,0.5333333333333333,0.5925925925925926
 10th,190,0.8333333333333334,0.45454545454545453,0.5882352941176471
 5th-6th,55,1.0,0.5,0.6666666666666666
 9th,95,1.0,0.16666666666666666,0.2857142857142857
 Doctorate,91,0.8611111111111112,0.8857142857142857,0.8732394366197184
 7th-8th,123,0.5,0.25,0.3333333333333333
 Prof-school,111,0.8571428571428571,0.8888888888888888,0.8727272727272727
 Preschool,15,0.0,0.0,0.0
 1st-4th,29,0.0,0.0,0.0
 12th,75,1.0,0.5,0.6666666666666666
feature value,n_samples,precision,recall,fbeta
 Married-spouse-absent,81,1.0,0.5714285714285714,0.7272727272727273
 Married-civ-spouse,3003,0.7267489711934156,0.6750764525993884,0.6999603646452636
 Never-married,2140,0.8823529411764706,0.3614457831325301,0.5128205128205128
 Divorced,885,0.7636363636363637,0.4158415841584158,0.5384615384615384
 Separated,203,0.8571428571428571,0.3333333333333333,0.48
 Widowed,196,1.0,0.16666666666666666,0.2857142857142857
 Married-AF-spouse,5,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Craft-repair,830,0.624,0.4431818181818182,0.5182724252491694
 Machine-op-inspct,402,0.5,0.36585365853658536,0.4225352112676056
 Sales,716,0.7346938775510204,0.5775401069518716,0.6467065868263473
 Exec-managerial,817,0.7736842105263158,0.7777777777777778,0.7757255936675462
 Other-service,656,0.7272727272727273,0.26666666666666666,0.3902439024390244
 ?,382,0.5517241379310345,0.5,0.5245901639344263
 Adm-clerical,759,0.5679012345679012,0.46,0.5082872928176795
 Prof-specialty,805,0.8016528925619835,0.782258064516129,0.7918367346938776
 Tech-support,201,0.7758620689655172,0.6818181818181818,0.7258064516129032
 Transport-moving,315,0.65625,0.3181818181818182,0.4285714285714286
 Protective-serv,139,0.8461538461538461,0.6470588235294118,0.7333333333333334
 Handlers-cleaners,262,0.625,0.3125,0.4166666666666667
 Farming-fishing,208,0.5333333333333333,0.32,0.4
 Priv-house-serv,20,0.0,0.0,0.0
 Armed-Forces,1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Not-in-family,1652,0.8271604938271605,0.41875,0.5560165975103735
 Husband,2624,0.738562091503268,0.6866319444444444,0.7116509221772379
 Unmarried,706,0.8,0.3018867924528302,0.4383561643835617
 Own-child,1004,1.0,0.1,0.18181818181818182
 Other-relative,190,1.0,0.35714285714285715,0.5263157894736842
 Wife,337,0.6285714285714286,0.5827814569536424,0.6048109965635738
feature value,n_samples,precision,recall,fbeta
 Black,620,0.7659574468085106,0.5142857142857142,0.6153846153846153
 White,5568,0.7354149548069022,0.6406585540443808,0.6847742922723795
 Asian-Pac-Islander,215,0.6666666666666666,0.4745762711864407,0.5544554455445544
 Other,47,0.6666666666666666,0.5,0.5714285714285715
